KodProduktu,Wyprzedaz,ilosc_indeks,Wartosc_indeks,SlsU,SlsR,KATEGORIA,DEPARTAMENT,GRUPA,grupa_towarowanie,przedzial_ilosci
15521-005,1,73,2168.83,62,2019.5700000000002,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
H4L21-TSM030-30S,0,97,1522.9,56,1957.05,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
NOSTSM004-36S,0,62,1220.16,41,1909.0900000000001,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
HOL21-TSM646-20S,1,96,1507.1999999999998,74,1769.47,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
1008637-25340,0,99,1214.73,37,1699.13,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
1008637-26009,0,94,1566.9800000000002,36,1649.64,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
15294-001,1,58,1230.18,64,1565.26,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
NOSTSM004-62S,0,53,1070.6,30,1429.7,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
1008637-20000,0,106,1768.08,28,1282.72,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
1008637-11042,0,98,1638.56,22,1024.78,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
FU3124,1,69,1678.08,32,1019.77,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
H4L21-TSM030-34S,0,52,816.4,19,671.81,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
NOSTSM004-10S,0,64,1292.8,14,629.86,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
1008637-16205,0,73,895.71,6,279.94,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
589267-01,0,110,3514.5,0,0,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
GK9123,0,78,3182.3999999999996,0,0,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(50,200]"
GK9588,1,45,2179.7999999999997,108,10327.05,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GK9636,1,31,1264.8,100,6150.75,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GK9613,1,21,1017.24,62,5259.929999999999,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
DU0404,1,38,1229.3000000000002,107,4899.66,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GK9642,1,46,1485.8,95,4153.49,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
H4L21-TSM016-30S,1,46,1083.76,94,4089.2200000000003,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1016502-20000,1,33,1105.17,73,4037.34,TEKSTYLIA,1_MĘŻCZYZNA,POLO,T-SHIRT,"(20,50]"
H4L21-TSM010-40S,1,38,745.9399999999999,117,3931.06,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GK9649,1,37,1195.1,82,3667.8700000000003,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1019661-16340,1,47,1110.61,151,3550.6299999999997,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
583510-02,1,28,994,89,3324.42,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
DU0441,1,41,1672.8,55,3282.58,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GD5967,1,25,1019.9999999999999,49,3009.6099999999997,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
VN0A5E7YZ501,1,48,3087.3599999999997,27,2999.77,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GM6189,1,43,1217.33,58,2963.54,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1329581-001,1,31,1252.3999999999999,61,2815.55,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1016502-10668,1,30,1008.3,53,2765.56,TEKSTYLIA,1_MĘŻCZYZNA,POLO,T-SHIRT,"(20,50]"
FU3123,1,38,1075.78,68,2684.53,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
CW0428-430,1,24,1041.84,49,2458.08,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
583510-11,1,37,1313.5,51,2229.57,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
584505-03,1,22,781,55,2109.66,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
DQ3056,1,49,1591.03,47,2062.16,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
584506-02,1,32,1022.4,55,1952.63,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
581917-02,1,31,1100.5,52,1864.69,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GD5930,1,31,1264.8,37,1829.72,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
583488-02,1,50,1775,49,1824.7,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GD5943,1,45,2332.8,22,1808.81,TEKSTYLIA,1_MĘŻCZYZNA,LONG SLEEVE,T-SHIRT,"(20,50]"
584505-06,1,24,852,47,1789.67,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
587159-99,1,25,887.5,31,1770.78,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
581552-43,1,22,715,38,1622.25,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
CU7406-010,1,21,1185.24,21,1448.86,TEKSTYLIA,1_MĘŻCZYZNA,LONG SLEEVE,T-SHIRT,"(20,50]"
583490-01,1,27,1341.9,23,1378.82,TEKSTYLIA,1_MĘŻCZYZNA,LONG SLEEVE,T-SHIRT,"(20,50]"
H4L21-TSM017-31A,0,30,824.4000000000001,21,1366.8899999999999,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
853400-66,0,46,1306.3999999999999,17,1263.83,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
583502-60,1,23,816.5,39,1234.82,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
Z0TSM020-20S,0,21,509.03999999999996,24,1114.76,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
15547-001,1,22,466.62,34,1099.75,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1022112-10908,1,31,476.46999999999997,71,1091.5,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
581521-52,1,21,745.5,36,902.7299999999999,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
NOSTSM003-24M,0,22,350.46,22,775.78,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1016303-25979,1,29,624.95,16,704.87,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
851741-22,0,35,994,8,615.92,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
FU3119,1,27,656.6400000000001,11,599.9,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
851740-01,0,42,1192.8,7,519.93,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
L0TSM503-10S,1,22,444.4,39,470.72,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
NOSTSML001-62S,0,39,945.3599999999999,8,457.72,TEKSTYLIA,1_MĘŻCZYZNA,LONG SLEEVE,T-SHIRT,"(20,50]"
NOSTSM302-62S,0,24,450.72,7,324.93,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
NOSTSM005-62S,0,28,495.04,7,274.43,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
853400-25,0,44,1249.6,4,271.96,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1027028-10314,0,33,559.0200000000001,0,0,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
1027028-27679,0,49,829.0800000000002,0,0,TEKSTYLIA,1_MĘŻCZYZNA,T-SHIRT,T-SHIRT,"(20,50]"
GL0798,0,889,82356.96,173,39077.57,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(800,1e+04]"
1024039-10668,0,806,41234.96,62,8229.98,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(800,1e+04]"
DP2419,0,547,50674.08,204,45882.96,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
589487-36,0,611,54226.25,157,38085.93,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
NOSH4-BLD353-56S,0,500,27485,166,22242.940000000002,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
589127-36,0,648,50608.799999999996,85,15539.25,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
NOSH4-BLD353-20S,0,555,30508.35,115,15263.050000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
1021114-19764,0,608,31087.04,71,9422.69,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
589486-02,0,665,54297.25000000001,37,8380.83,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
NOSH4-BLD350-63S,0,601,23595.26,79,7286.21,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
1027117-27469,0,653,42758.44,20,3155.2000000000003,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
WT03811BK,0,665,42393.75,22,3070.28,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
WT03811ERR,0,623,39716.25,18,2474.82,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
1021114-10522,0,756,38246.04,17,2154.43,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
GS1344,0,700,50568,11,1898.89,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
WJ03806BK,0,705,59925,7,1399.93,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
NOSH4-BLD350-27M,0,756,29680.559999999998,9,799.91,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(400,800]"
GL0719,0,231,18879.63,118,23026.82,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
GM5592,0,255,23623.2,68,15232.220000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
GL0721,1,201,14520.239999999998,90,13775.17,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
WT13500WDH,0,283,30068.75,39,9064.81,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
H45138,0,299,30240.86,31,7674.6900000000005,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
NOSBLD001-10M,0,234,9224.28,76,7246.24,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
H4L21-BLD010-55S,1,205,9659.599999999999,84,6299.38,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
1027273-22515,0,320,20969.6,17,2881.63,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
1027117-28155,0,324,21215.52,10,1709.9,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(200,400]"
586894-01,1,76,5396,142,18772.710000000003,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
586894-02,1,84,5964,142,18436.75,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
585945-26,1,108,12652.2,64,14719.36,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
583615-01,1,69,6123.75,99,13131.11,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
586797-40,1,93,7593.450000000001,73,10664.300000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
1356400-680,1,71,6970.07,66,10479.35,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
586797-23,1,69,5633.85,66,9494.390000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
GN7849,1,113,9102.15,70,9295.37,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
GL0805,1,131,13249.34,41,9164.59,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
GD2955,1,90,6120,80,8642.42,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
585955-26,1,124,10124.6,54,8575.460000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
1024522-26200,1,149,10021.740000000002,98,8539.24,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
H4L21-BLD011-55S,1,124,6330.2,87,7028.28,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
1021114-22234,1,62,3115.5,70,6589.37,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
582411-56,1,60,4686,51,6481.58,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
H4L21-BLD013-20S,0,51,2803.47,46,6179.14,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
583613-34,1,64,5680,45,5329.63,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
583560-34,1,65,4615,27,2815.75,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
H4Z21-BLD032-54S,0,97,6855.960000000001,0,0,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(50,200]"
H4L21-BLD023-47S,1,44,2418.6800000000003,105,9349.119999999999,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
583615-16,1,39,3461.25,57,7447.490000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
NOSBLD004-20S,0,41,2319.37,51,6937.89,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
1021114-10332,1,35,1758.75,72,6778.36,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
GD2967,1,24,1937.7599999999998,56,6681.5,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
NOSBLD004-47M,0,40,2228,41,5627.59,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
583613-01,1,39,3461.25,42,5487.62,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
DP2363,1,27,1836,39,4757.6500000000005,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
583560-01,1,31,2201,40,4571.63,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
GL6303,1,21,1695.54,36,4146.71,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
ED7582,1,26,2111.46,18,2624.83,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
EK1357,1,36,2622.96,10,611.96,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
Z9BLD601-30S,1,34,1183.88,14,529.9200000000001,TEKSTYLIA,2_KOBIETA,BLUZA,BLUZA,"(20,50]"
1024131-12230,1,405,45307.35,21,3894.8,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(400,800]"
1024131-10668,1,369,41320.62,35,6554.66,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(200,400]"
1024468-12230,1,233,38025.6,21,4829.79,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(200,400]"
81227-001,1,98,7493.08,82,10611.300000000001,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
B-608-017,1,198,16822.079999999998,66,9299.42,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
H4L21-KUDC003-25S,1,177,19459.38,50,8873.51,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
NOSKUD001-20S,1,52,4696.12,48,8369.550000000001,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
587269-26,1,59,4817.35,48,7952.14,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
L0KUDC001-62S,1,81,6545.61,123,6413,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
65269-301,1,114,6293.94,68,6179.44,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
L0KUDC001-33S,1,55,4444.55,77,4139.360000000001,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(50,200]"
65073-020,1,40,2208.4,49,4538.57,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(20,50]"
B-501-009,1,47,3993.12,37,3179.71,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(20,50]"
81215-001,1,36,3058.5599999999995,21,2573.81,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(20,50]"
65189-001,1,41,2089.36,15,1031.8799999999999,TEKSTYLIA,2_KOBIETA,KURTKA,KURTKA,"(20,50]"
GL4690,1,297,10810.8,74,4430.429999999999,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(200,400]"
GI6634,0,374,13613.599999999999,52,3170.5899999999997,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(200,400]"
NOSTSD003-27M,0,211,2485.58,76,2172.14,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(200,400]"
586854-80,1,144,4600.8,122,6107.06,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(50,200]"
DP2359,1,174,5620.2,113,5885.09,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(50,200]"
586854-01,1,200,6389.999999999999,90,4699.06,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(50,200]"
H4L21-TSD024-10S,1,74,1016.76,89,2207.2599999999998,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(50,200]"
NOSTSD003-10S,0,86,1013.9399999999999,59,1710.31,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(50,200]"
NOSTSD003-56S,0,53,624.34,46,1338.1399999999999,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(50,200]"
FM6360,1,42,1356.6,54,1796.78,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
AO9966-010,1,24,1100.4,71,1697.49,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
FM6163,1,33,915.42,51,1627.64,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
FM6166,1,28,833.84,48,1623.6200000000001,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
890351-693,1,26,674.7,30,1003.7900000000001,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
NOSTSD003-20S,0,36,424.08,30,840.91,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
890351-010,1,22,570.9,15,567.86,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
L0TSD004-10S,0,45,636.3000000000001,12,404.13,TEKSTYLIA,2_KOBIETA,SLEEVELESS,SLEEVELESS,"(20,50]"
GL2554,0,643,23405.2,43,3428.5699999999997,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(400,800]"
1026170-10668,1,121,6158.9,217,27402.11,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
1026170-20000,1,180,9162,196,24111.550000000003,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
H4L21-SKDT002-90A,1,136,4123.52,131,8398.14,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
H4L21-SKDD011-20S,1,57,1507.6499999999999,140,7964.57,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
GI6637,1,83,2686.71,71,3581.48,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
H4L21-SKDT006-91A,1,70,2198.7,39,2603.6299999999997,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
C-407-005,1,111,4713.06,19,1266.82,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(50,200]"
586991-01,1,26,1476.8,76,7289.29,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(20,50]"
GM5530,1,48,2325.12,44,4329.57,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(20,50]"
GL4694,1,32,1164.8,54,3330.8599999999997,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(20,50]"
H4L21-SKDD015-27M,1,32,628.16,83,3000.9100000000003,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(20,50]"
H4L21-SKDD015-47S,1,27,530.01,80,2966.3900000000003,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(20,50]"
NOSH4-SKDD001-62S,1,24,471.12,55,2051.08,TEKSTYLIA,2_KOBIETA,SPODENKI,SPODENKI,"(20,50]"
GM8733,0,907,65521.67999999999,232,39752.1,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(800,1e+04]"
586842-01,0,1423,90929.7,93,14773.470000000001,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(800,1e+04]"
589489-36,0,542,38482,201,35710.29,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
GM5541,0,487,33116,171,26806.49,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
80061-020,0,609,25858.14,212,20247.879999999997,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
GL4058,0,614,41752,112,17692.48,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
DU0687,0,493,35614.32,85,14868.95,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
GM8736,0,578,41754.72,52,9067.880000000001,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
WP03805BK,0,681,52096.5,29,5001.91,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
586863-01,0,723,41066.4,24,3711.76,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
WP03805AG,0,704,53856,19,3347.8100000000004,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(400,800]"
GM8735,0,389,28101.359999999997,229,39811.91,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(200,400]"
DP2377,0,230,16617.5,129,22036.11,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(200,400]"
FR5110,1,219,20288.16,67,10639.34,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(200,400]"
1356416-001,0,285,22381.050000000003,24,4689.76,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(200,400]"
GM5526,0,238,16184,0,0,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(200,400]"
DP2398,1,131,8908,88,12591.7,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
586489-01,1,79,5609,76,10409.37,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
DP2380,0,149,11602.630000000001,50,8504.51,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
H4L21-SPDD015-27M,1,69,3251.2799999999997,95,7487.2699999999995,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
H4L21-SPDD013-31S,1,88,4837.36,80,7114.339999999999,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
FJ7153,1,79,7318.56,44,5121.63,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
HOL21-SPDD612-23S,1,91,2858.31,58,3047.56,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
P-405-005,1,87,4433.5199999999995,70,2123.9500000000003,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
851826-01,0,62,3961.8,3,467.97,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
H4Z21-SPDD017-20S,0,177,10425.3,0,0,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
H4Z21-SPDD017-54S,0,81,4770.9,0,0,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(50,200]"
CJ2353-010,1,31,2547.27,33,4159.6900000000005,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(20,50]"
H4L21-SPDD015-20S,1,22,1036.6399999999999,42,3328.7599999999998,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(20,50]"
Z0SPDD012-62S,1,41,2319.37,35,2591.75,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(20,50]"
CJ2353-691,1,43,3533.31,11,1259.8999999999999,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(20,50]"
80074-001,1,43,1932.8500000000001,18,986.89,TEKSTYLIA,2_KOBIETA,SPODNIE,SPODNIE,"(20,50]"
586910-26,1,374,21243.2,95,8789.16,TEKSTYLIA,2_KOBIETA,SUKIENKA,SUKIENKA,"(200,400]"
A-510-059,1,321,13629.66,55,3604.5,TEKSTYLIA,2_KOBIETA,SPÓDNICA,SUKIENKA,"(200,400]"
586910-01,1,107,6077.5999999999995,115,14545.900000000001,TEKSTYLIA,2_KOBIETA,SUKIENKA,SUKIENKA,"(50,200]"
